timestamp,machine_id,temperature_c,vibration_mm_s,pressure_bar,rpm,fault_flag,fault_type,temperature_c_rolling_mean,temperature_c_rolling_std,vibration_mm_s_rolling_mean,vibration_mm_s_rolling_std,pressure_bar_rolling_mean,pressure_bar_rolling_std
2024-01-01 00:00:00,CNC_Mill_01,64.79,0.84,4.297,1480.0,0,none,64.79,0.0,0.84,0.0,4.297,0.0
2024-01-01 00:00:00,Hydraulic_Press_02,77.65,1.181,8.737,1465.0,0,none,77.65,0.0,1.181,0.0,8.737,0.0
2024-01-01 00:00:00,Conveyor_Motor_03,45.81,0.462,2.03,1441.0,0,none,45.81,0.0,0.462,0.0,2.03,0.0
2024-01-01 01:00:00,CNC_Mill_01,62.13,0.819,3.941,1439.0,0,none,63.46000000000001,1.8809040379562216,0.8294999999999999,0.014849242404917471,4.119,0.2517300141024108
2024-01-01 01:00:00,Hydraulic_Press_02,78.47,1.119,8.364,1422.0,0,none,78.06,0.5798275605729641,1.15,0.04384062043356591,8.5505,0.2637508293825811
2024-01-01 01:00:00,Conveyor_Motor_03,44.66,0.617,2.11,1422.0,0,none,45.235,0.8131727983645337,0.5395,0.10960155108391487,2.07,0.05656854249492385
2024-01-01 02:00:00,CNC_Mill_01,65.17,0.756,4.027,1458.0,0,none,64.03,1.656381598545458,0.805,0.04371498598878873,4.088333333333334,0.18575611250597726
2024-01-01 02:00:00,Hydraulic_Press_02,77.56,1.152,8.41,1487.0,0,none,77.89333333333333,0.5014312847572729,1.1506666666666667,0.031021497922139925,8.503666666666668,0.20337731764710867
2024-01-01 02:00:00,Conveyor_Motor_03,43.41,0.499,2.223,1426.0,0,none,44.626666666666665,1.2003471720020589,0.5259999999999999,0.08095060222135472,2.121,0.09696906723280366
2024-01-01 03:00:00,CNC_Mill_01,62.06,0.817,4.001,1454.0,0,none,63.5375,1.6731083846142993,0.8079999999999999,0.03619392214170767,4.0665,0.15783007740393862
2024-01-01 03:00:00,Hydraulic_Press_02,78.26,1.259,8.483,1444.0,0,none,77.985,0.44859038479812746,1.17775,0.05979618159492574,8.4985,0.16637808349258743
2024-01-01 03:00:00,Conveyor_Motor_03,43.92,0.382,2.031,1471.0,0,none,44.45,1.0418253212511224,0.49,0.09773774432974534,2.0985,0.09106957047590955
