timestamp,price_eur_mwh,load_mw,solar_mw,wind_mw,gas_price_eur_mwh,hour,day_of_week,month,is_weekend,is_anomaly
2021-01-01 00:00:00,49.87967135755946,45458.72426350372,0.0,37231.148197992006,28.270362353863742,0,4,1,0,0
2021-01-01 01:00:00,39.281347233206546,46410.69360203092,0.0,37270.22339421218,25.939417734334604,1,4,1,0,0
2021-01-01 02:00:00,45.710990622355794,47298.101449487214,0.0,37179.577789433984,34.47055234440265,2,4,1,0,0
2021-01-01 03:00:00,54.39367274018547,48555.36389469053,0.0,37221.9338531261,32.15272987583002,3,4,1,0,0
2021-01-01 04:00:00,33.78958237712016,49188.00513126252,0.0,36924.416590019224,27.826080524397106,4,4,1,0,0
2021-01-01 05:00:00,37.27389232931332,47645.32398594571,0.0,36985.94336444341,29.17689439515639,5,4,1,0,0
2021-01-01 06:00:00,65.55046924463014,52972.456882184226,0.0,36901.5214388571,25.937934103295905,6,4,1,0,0
2021-01-01 07:00:00,64.64603290845672,50771.69598293296,4240.149241247046,36865.444050534956,35.46941880909397,7,4,1,0,0
2021-01-01 08:00:00,59.62702136411577,49592.58278468142,8907.63551055947,36941.42868650191,30.808271674127987,8,4,1,0,0
2021-01-01 09:00:00,80.91386185945768,48240.5410452816,8796.780446741446,37211.36237110991,30.225899182086994,9,4,1,0,0
2021-01-01 10:00:00,75.68106020844625,47303.34716030124,13393.28097099945,37254.62615067468,34.45600034156474,10,4,1,0,0
2021-01-01 11:00:00,78.99138756618068,46794.20250139519,17068.04045867754,37244.89438276535,32.18137606255584,11,4,1,0,0
2021-01-01 12:00:00,86.82576003306947,47173.41551360266,16683.03564752075,37255.86642619109,32.689962836503376,12,4,1,0,0
2021-01-01 13:00:00,56.621455958112826,42748.547744545765,16182.26359825316,37220.76974958465,30.121816603855617,13,4,1,0,0
2021-01-01 14:00:00,51.88415306413692,42987.92577459136,12724.679723354906,37390.69196005436,30.965709980190038,14,4,1,0,0
2021-01-01 15:00:00,57.657713840388894,39123.38016378602,6817.5277016495365,37378.46335003312,31.37521188537482,15,4,1,0,0
2021-01-01 16:00:00,44.44918365317467,41980.78973483686,9680.633933359608,37298.81479206294,30.32312857267861,16,4,1,0,0
2021-01-01 17:00:00,54.21115557421109,40782.036690629844,3024.012129999713,37363.24181932084,35.90374843308791,17,4,1,0,0
2021-01-01 18:00:00,35.70767226136514,39949.020682210525,1.1478295449905527e-12,37572.70224011068,32.30357415908887,18,4,1,0,0
2021-01-01 19:00:00,28.14061139025034,37034.71025544119,0.0,37441.55034925789,36.86187881077181,19,4,1,0,0
2021-01-01 20:00:00,62.85285641660218,39925.25125448169,0.0,37690.83058669374,34.98763221962258,20,4,1,0,0
2021-01-01 21:00:00,43.41406741949144,40176.10723839999,0.0,37574.36840449498,25.542155464407607,21,4,1,0,0
2021-01-01 22:00:00,47.41606350521917,41255.0375131109,0.0,37633.71210821239,27.061866629547353,22,4,1,0,0
2021-01-01 23:00:00,28.850957742369438,41053.25403880173,0.0,37731.11597528804,29.509476016701385,23,4,1,0,0
2021-01-02 00:00:00,22.394600240233657,44589.00763791949,0.0,37939.892263500755,30.319323102250387,0,5,1,1,0
2021-01-02 01:00:00,27.27999281939566,49169.44247972481,0.0,37968.7165833085,33.206358981196736,1,5,1,1,0
2021-01-02 02:00:00,9.135519613763414,48712.80992907251,0.0,37932.58274185114,29.522089705731254,2,5,1,1,0
2021-01-02 03:00:00,25.634716542591605,48769.839836618085,0.0,38073.6375069053,28.64552512818156,3,5,1,1,0
2021-01-02 04:00:00,14.40109593464544,50315.80713781995,0.0,38121.74218434635,33.24214442264097,4,5,1,1,0
2021-01-02 05:00:00,21.592859634859384,53284.27639644634,0.0,38178.203223598866,32.8849785935276,5,5,1,1,0
2021-01-02 06:00:00,24.389396410197953,48670.91605314015,0.0,38086.418644985206,36.075674362340465,6,5,1,1,0
2021-01-02 07:00:00,62.674426148644244,48836.49031991169,3815.3776601037375,38067.84657622515,31.771941941276783,7,5,1,1,0
2021-01-02 08:00:00,50.10933055051482,48783.142416624454,6625.596727577861,38036.71586530773,32.243782771598205,8,5,1,1,0
2021-01-02 09:00:00,46.721504915565625,46601.27510432873,7562.970563573308,38083.368364457245,33.67295852286383,9,5,1,1,0
2021-01-02 10:00:00,76.12381766691769,48177.392455209076,9422.924867510033,38137.947648640074,33.37379597921543,10,5,1,1,0
2021-01-02 11:00:00,54.94153847986834,46034.42197631193,13494.731158689974,38238.43029810088,37.226277161765324,11,5,1,1,0
2021-01-02 12:00:00,71.44040505382603,46142.73575509568,9711.064084793577,38162.60562206902,27.011385446417343,12,5,1,1,0
2021-01-02 13:00:00,41.07691801376,45166.714315635036,15570.988387786818,38123.358449139894,37.48848939884888,13,5,1,1,0
2021-01-02 14:00:00,41.65738653830799,44697.32880349982,7257.9097373926115,38105.50032413668,26.42911021461307,14,5,1,1,0
2021-01-02 15:00:00,51.7802625544988,42772.80882308623,5884.3812425699,37850.660447984366,33.7454533241372,15,5,1,1,0
2021-01-02 16:00:00,50.47783104926435,40334.37804244213,7061.018386226222,37841.892901359126,29.29616466509416,16,5,1,1,0
2021-01-02 17:00:00,37.509993406014075,39640.882824002176,2896.5251321933592,37868.96804772512,28.455940413384674,17,5,1,1,0
2021-01-02 18:00:00,30.229879681196444,38756.40101919419,1.6813696348623558e-12,37825.29564216504,27.438845508750337,18,5,1,1,0
2021-01-02 19:00:00,26.48902081188318,40486.886803789304,0.0,37861.73659707659,33.74315003135634,19,5,1,1,0
